"name","Team_y","Position_y","HANDED","GP","G","A","P","Sh","Sh_perc","SALARY","PIM","Giveaways","Takeaways","Hits","Hits.Taken","blocked_shots","PlusMinus"
"Anthony Bitetto","WPG","D","Left",50,0,8,8,54,0,"$700,000",32,22,16,145,68,50,3
"Anthony Beauvillier","NYI","W","Left",68,18,21,39,132,0.14,"$1,800,000",15,51,29,86,134,36,-11
"Andy Greene","N.J, NYI","D","Left",64,2,12,14,60,0.03,"$5,000,000",16,41,16,30,74,155,1
"Andy Andreoff","PHI","C","Left",14,0,1,1,14,0,"$750,000",2,0,1,20,12,4,-3
"Andrew Shaw","CHI","W","Right",26,3,7,10,46,0.07,"$3,250,000",33,15,12,74,50,9,-4
"Andrew Mangiapane","CGY","W","Left",68,17,15,32,109,0.16,"$715,000",18,29,38,73,55,25,4
"Andrew Ladd","NYI","W","Left",4,1,0,1,5,0.2,"$5,000,000",4,1,0,23,7,0,2
"Andrew Copp","WPG","C","Left",63,10,16,26,121,0.08,"$2,260,000",10,27,38,59,74,27,-3
"Andrew Cogliano","DAL","C","Left",67,3,11,14,68,0.04,"$3,250,000",30,20,24,86,44,31,2
"Andrej Sekera","DAL","D","Left",57,2,6,8,63,0.03,"$4,500,000",14,50,8,34,90,75,9
"Andrej Sekera","DAL","D","Left",57,2,6,8,63,0.03,"$1,500,000",14,50,8,34,90,75,9
"Andreas Johnsson","TOR","W","Left",43,8,13,21,78,0.1,"$5,000,000",14,20,13,43,52,21,0
"Andreas Athanasiou","DET, EDM","W","Left",55,11,15,26,129,0.09,"$3,000,000",30,31,15,36,47,24,-46
"Andre Burakovsky","COL","W","Left",58,20,25,45,103,0.19,"$3,250,000",22,33,27,26,83,34,11
"Anders Lee","NYI","W","Left",68,20,23,43,195,0.1,"$9,000,000",47,44,24,102,82,50,8
"Alexander Steen","STL","W","Left",55,7,10,17,71,0.1,"$5,500,000",12,12,16,26,51,47,7
"Alexander Radulov","DAL","W","Left",60,15,19,34,132,0.11,"$6,600,000",46,44,26,48,53,42,8
"Alexander Kerfoot","TOR","C","Left",65,9,19,28,88,0.1,"$5,000,000",32,33,28,48,121,41,-2
"Alexander Edler","VAN","D","Left",59,5,28,33,118,0.04,"$7,000,000",62,43,9,108,127,162,13
"Alex Tuch","VGK","W","Right",43,8,9,17,98,0.08,"$4,750,000",8,27,27,58,44,20,-10
"Alex Pietrangelo","STL","D","Right",70,16,36,52,225,0.07,"$7,500,000",20,45,43,47,112,89,11
"Alex Ovechkin","WSH","W","Right",68,48,19,67,311,0.15,"$10,000,000",30,48,28,184,43,30,-12
"Alex Killorn","T.B","W","Left",68,26,23,49,130,0.2,"$4,450,000",20,26,27,59,74,15,19
"Alex Iafallo","L.A","W","Left",70,17,26,43,142,0.12,"$2,400,000",14,11,18,49,81,47,1
"Alex Goligoski","ARI","D","Left",70,4,28,32,101,0.04,"$5,800,000",24,53,7,91,94,134,8
"Alex Galchenyuk","MIN, PIT","C","Left",59,8,16,24,86,0.09,"$4,900,000",16,20,5,52,68,17,-5
"Alex Chiasson","EDM","W","Right",65,11,13,24,97,0.11,"$2,150,000",42,20,14,56,91,15,-3
"Alex Biega","DET","D","Right",50,0,3,3,55,0,"$700,000",24,30,4,115,70,46,-9
"Aleksander Barkov","FLA","C","Left",66,20,42,62,172,0.12,"$6,900,000",18,52,51,21,72,35,2
"Alec Martinez","L.A, VGK","D","Left",52,3,13,16,75,0.04,"$4,150,000",23,32,14,43,75,117,-4
"Alan Quine","CGY","C","Left",9,1,0,1,12,0.08,"$735,000",4,1,2,6,3,2,-1
"Adrian Kempe","L.A","C","Left",70,11,21,32,148,0.07,"$1,250,000",29,27,24,71,55,17,-10
"Adam Pelech","NYI","D","Left",38,1,8,9,49,0.02,"$1,925,000",20,48,32,81,63,83,4
"Adam Lowry","WPG","C","Left",50,4,6,10,68,0.06,"$2,750,000",23,11,31,137,66,22,-4
"Adam Larsson","EDM","D","Right",50,1,5,6,61,0.02,"$5,050,000",35,35,16,112,65,82,0
"Adam Henrique","ANA","C","Left",70,26,17,43,169,0.15,"$5,825,000",20,32,26,75,40,32,-2
"Adam Erne","DET","W","Left",56,2,3,5,63,0.03,"$1,050,000",28,27,5,142,32,25,-24
"Aaron Ness","ARI","D","Left",25,0,1,1,11,0,"$725,000",0,8,1,17,49,20,1
"Aaron Ekblad","FLA","D","Right",67,5,36,41,147,0.03,"$9,000,000",26,74,37,34,56,84,12
